Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
Sedex,Sedex,34.028.316/1434-86,ISENTO,"RUA CAMPOS SALLES 651  AC PIRAJUI, 651",,651,CENTRO,PIRAJUI,16600-000,SP
SEDEX,SEDEX,00.235.274/0001-60,ISENTO,RUA PEDRO VICENTE,,304,LUZ,SAO PAULO,01109-010,SP
SEDEX,SEDEX,34.028.316/0001-03,ISENTO,QUADRA SBN QUADRA 1,,.,ASA NORTE,BRASILIA,70040-010,DF
SDS TRANSPORTES E LOGISTICA LTDA - ME ,SDS TRANSPORTES E LOGISTICA LTDA - ME ,46.929.725/0001-60,647054307116,AV NOSSA SENHORA DA PAZ ,,309, JARDIM ALTO ALEGRE , SAO JOSE DO RIO PRETO ,15054-000,SP
SCM SERVICOS DE TRANSPORTE DE CARGAS LTDA,SCM SERVICOS DE TRANSPORTE DE CARGAS LTDA,09.581.843/0002-84,336905024112,RUA UM ,GALPAO1,338,AGUA CHATA ,GUARULHOS,07251-330,SP
SCHREIBER LOGISTICA TRANSPORTES LTDA,SCHREIBER LOGISTICA TRANSPORTES LTDA,10.349.430/0002-58,336.527.330.113,RUA SAO DOMINGOS DO PRATA,,200,VILA BARROS,GUARULHOS,07193-160,SP
SB TRANSPORTES DE CARGAS EIRELI,SB TRANSPORTES DE CARGAS EIRELI,16.621.163/0002-02,796.106.993.112,RUA IRAQUARA,,18,JARDIM IV CENTENARIO,GUARULHOS,07161-550,SP
SATURNO LOGISTICA LTDA,SATURNO LOGISTICA LTDA,08.360.758/0002-23,149678623110,RUA CANINDE,,362,PARI,SAO PAULO,03033-000,SP
SAO PAULO MINAS TRANSPORTADORA LTDA - EPP,LEIVA TUR,00.522.610/0002-36,115.974.025.112,RUA PROFESSORA MARIA JOSE BARONE FERNANDES,,1085,VILA MARIA,SAO PAULO,02117-022,SP
SAO FERNANDO TRANSPORTES EIRELLI - EPP,VERDE VALLE TRANSPORTES,24.071.400/0001-56,796.423.429.115,RUA MARINOPOLIS,,620/622,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-100,SP
SANTA RITA INDUSTRIA DE AUTO PECAS,PARAFUSOS SANTA RITA INDUSTRIA,78.826.476/0002-54,254.613.241,RODOVIA BR-470 - KM 59,,3929,BADENFURT,BLUMENAU,89070-200,SC
SANTA CRUZ TRANSP. COLIGADOS LTDA,SANTA CRUZ TRANSP. COLIGADOS LTDA,46.157.897/0002-43,111.076.811-110,RUA JOAQUIM GERALDO,Q6B14,S/N,JARDIM JULIETA,SAO PAULO,02162-030,SP
SANTA CRUZ,SANTA CRUZ,,,.,,.,,,,SP
SANTA ALBERTINA TRANSPORTE LTDA,SANTA ALBERTINA TRANSPORTE LTDA,24.514.169/0001-28,310855526117,AVENIDA EMILIO PALUDETTO,,5640,VILA HIPICA,FRANCA,14403-860,SP
SANSEI TRANSPORTES E LOGISTICA LTDA,EXPRESSO ZONA DA MATA,01.484.094/0001-84,145.599.366.110,RUA DOZE DE SETEMBRO,,719/729,VILA GUILHERME,SAO PAULO,02052-000,SP
SANCHEZ & FELISZYN TRANSPORTES LTDA,SUPERCARGAS,84.550.847/0002-10,336.664.444.116,RUA IBIACA,A,09,JD NOVA CUMBICA,GUARULHOS,07231-090,SP
SANCHES TRANPORTES E ARMAZENS GERAIS LTDA,SANCHES TRANPORTES E ARMAZENS GERAIS LTDA,68.110.709/0001-83,ISENTO,AVENIDA REYNALDO DE PORCARI,,3223,JARDIM TEREZA CRISTINA,JUNDIAI,13212-439,SP
SANAVE TRANSPORTES ROD. E LOG LTDA,SAVANE TRANSPORTES,04.233.201/0002-70,111889645119,RUA PAULO EMILIO,,231,VL SABRINA,SAO PAULO,02162-040,SP
SANA DISTRIBUIDORA DE PECAS E LUBRIFICANTES LTDA,SANA DISTRIBUIDORA DE PECAS E LUBRIFICANTES LTDA,05.952.462/0001-22,04210621 4,RUA ALVARO LEITE,,233,JAPIIM,MANAUS,69078-700,AM
SAMSUNG SDS GLOBAL SCL LATIN,SAMSUNG SDS GLOBAL SCL LATIN,24.574.383/0005-01,241074092111,AV ANTONIO CANDIDO MACHADO 3100,,3100,JORDONESIA,CAJAMAR,07764-415,SP
SAMM TRANSPORTES LTDA ,.,01.596.963/0002-43,336477069111,RUA PREFEITO OLIVIER RAMOS NOGUEIRA,,575,CUMBICA,GUARULHOS,07222-170,SP
SAL EXPRESS SOLUCOES LOGISTICA E TRANSPORTE LTDA,SAL EXPRESS SOLUCOES LOGISTICA E TRANSPORTE LTDA,86.392.529/0018-61,797.144.435.110,R SETE DE SETEMBRO,SALA 51,590,CENTRO,RIBEIRAO PRETO,14010-180,SP
SAGA TRANSPORTES LTDA - ME,SAGA TRANSPORTES LTDA - ME,12.941.948/0001-20,256268924,RODOVIA BR 101,,S/N,URUBUQUARA,GARUVA,89248-000,SC
SAFE WAY TRANSPORTES LTDA ,SI. LI ,02.624.840/0001-50,336.749.928.114,RUA ALEXANDRA,,70,JARDIM CASTANHA,GUARULHOS,07182-300,SP
SACRA - LOG TRANSPORTES LTDA,SACRA - LOG TRANSPORTES,25.061.909/0001-80,796.474.014.113,AV PATOS,,857,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
S4 TRANSPORTES RODO-AEREO LTDA,S4 TRANSPORTES RODO-AEREO S4 LOGISTICA,14.312.323/0001-25,336950785116,RUA FRANCISCO SANTOS,GALPAO 03,163,CIDADE ARACILIA,GUARULHOS,07250-220,SP
S. A. DA COSTA GAMA TRANSPORTES E LOGISTICA (FP TRANSPORTE),FP TRANSPORTES,11.287.989/0001-82,796.376.341.117,RUA GURJAO,,16,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-040,SP
S P SILVA TRANSPORTES LTDA - ME (DIST. CENTRO- OESTE),S P SILVA TRANSPORTES LTDA - ME (DIST. CENTRO- OESTE),07.909.399/0002-58,ISENTO,RUA CABO ROMEU CASAGRANDE,,702,PARQUE NOVO MUNDO,SAO PAULO,02180-060,SP
S E A TRANSPORTES LTDA,S E A TRANSPORTES LTDA,04.335.814/0002-19,567058618117,RUA PREFEITO ANTONINHO FRANCA,,171,CENTRO,QUELUZ,12800-000,SP
RTE RODONAVES TRANSPORTES,RTE RODONAVES TRANSPORTES,44.914.992/0038-20,9061706477,ROD CONTORNO LESTE BR 116,,14219,.,SAO JOSE DOS PINHAIS,00000-000,PR
RT TRANSPORTES,RT TRANSPORTES,08.797.426/0002-00,336838187119,AV. JAGUARAO,,314,CUMBICA,GARULHOS,07223-000,SP
RRT TRANSPORTES LOGISTICA EIRELI - ME,TED TRANSPORTES,11.936.755/0001-19,ISENTO,RUA BICAS,,78,CUMBICA,GUARULHOS,07223-040,SP
RPG COM DE EMBALAGENS E ART DE PAPEL E PAPELAO LTDA,CAIXAS RPG,06.217.972/0001-19,401168878112,AVENIDA JOSE EDUARDO DO AMARAL CARVALHO,,570,JARDIM ORLANDO CHESINI OMETTO,JAU,17212-601,SP
RPDS TRANSPORTES LTDA,RPDS TRANSPORTES LTDA,47.981.553/0001-36,127.758.670.114,RUA GUARARAPES,,59,VILA SAO RAFAEL,GUARULHOS,07053-130,SP
RP TRANSPORTES E SERVICOS LTDA - EPP  (NOVA),RP TRANSPORTES E SERVICOS LTDA - EPP  (NOVA),17.378.954/0001-35,ISENTO,RUA IPAUMIRIM,,51,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-075,SP
RP TRANSPORTES E SERVICOS LTDA,RP TRANSPORTES E SERVICOS LTDA,17.378.954/0006-40,127.925.752.113,RUA IPAUMIRIM,GALPAO1,51,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-075,SP
ROTATIVA TRANSPORTADORA,ROTATIVA TRANSPORTADORA,10.824.477/0001-45,635596484110,RUA DOS VIANAS,,1700,BAETA NEVES,SAO BERNARDO DO CAMPO,09760-510,SP
RORAIMA LOGISTICA EIRELI,RORAIMA LOGISTICA EIRELI,19.032.552/0001-00,796.359.828.115,RUA DA IMPRENSA,,65,VILA NOVA CUMBICA,GUARULHOS,07231-070,SP
RON DON ARMAZENAGEM DE CARGAS LIMITADA,RON DON ARMAZENAGEM DE CARGAS LIMITADA,10.560.724/0001-43,148.442.529.111,R DOUTOR PAULO QUEIROZ,,509,JARDIM NOVE DE JULHO,SAO PAULO,03951-090,SP
ROMANEL SERVICOS E TRANSPORTES EIRELI,SEM FURO,08.783.080/0001-00,104149973,RUA AMADOR BUENO,SETOR CANDIDA DE MORAIS,01,SETOR SANTOS DUMONT,GOIANIA,74463-340,GO
RODSUL TRANSPORTES LTDA,RODSUL TRANSPORTES LTDA,03.421.702/0001-37,127.749.704.111,RUA DA AVIACAO,,350,VILA SAO RAFAEL,GUARULHOS,07053-140,SP
RODOVITOR - TRANSPORTES E LOCACAO DE VEICULOS LTDA,RODOVITOR - TRANSPORTES E LOCACAO DE VEICULOS LTDA,08.408.736/0002-96,796.516.339.114,RUA JOAO RANIERI,,1001,BONSUCESSO,GUARULHOS,07177-120,SP
RODOVIARIO WILSON LTDA - EPP,RODOVIARIO WILSON,03.646.703/0003-41,116440103112,RUA SARGENTO MANOEL CHAGAS,,70,PQ NOVO MUNDO,SAO PAULO,02179-040,SP
RODOVIARIO TRANSVOAR LTDA,RODOVIARIO TRANSVOAR LTDA,56.423.114/0001-07,669148935113,AV: CONDE ZEPELLIN,,601,CENTRO,SOROCABA,18035-290,SP
RODOVIARIO TOCANTINS TRANSPORTES E LOGISTICA LTDA - ME,RODOVIARIO TOCANTIS (TOCANTINS TRANSPORTES),07.784.847/0008-20,336984857112,RUA ITAPE,,274,JD.MARIA DIRCE,GUARULHOS,07173-400,SP
RODOVIARIO SULDESTE LTDA,RODOVIARIO SULDESTE LTDA,13.151.382/0002-87,336628410114,AVENIDA CARLOS DE CAMPOS,,1022,PARI,SAO PAULO,03028-000,SP
RODOVIARIO RECIFENSE LTDA,RODOVIARIO RECIFENSE LTDA,10.793.990/0003-88,336171581116,AVENIDA ROCHEDO DE MINAS,,93,CUMBICA,GUARULHOS,07222-200,SP
RODOVIARIO LUZ TRANSPORTES EIRELI ,LUZ TRANSPORTES ,17.344.049/0002-45,796.347.820.116,AVENIDA JOAO BASSI,,685,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-440,SP
RODOVIARIO GOYAZ LT,RODOVIARIO GOYAZ,01.537.083/0005-49,111.086.091-110,RUA LIDICE,GALPAO 12,22,PARQUE NOVO MUNDO,SAO PAULO,02174-010,SP
RODOVIARIO GARRA LTDA ,RODOVIARIO GARRA LTDA,04.667.964/0001-49,336.676.169-117,RUA DOUTOR MOACYR ANTONIO DE MORAES,,251,PARQUE SANTO AGOSTINHO,GUARULHOS,07140-285,SP
RODOVIARIO ANDRADE LTDA - ME(LUSEANNA-EX TRANSPORTES E ARMAZENAGEM LTDA),RODOVIARIO ANDRADE(LUSEANNA-EX TRANSPORTES ),26.290.395/0002-89,147.122.878.119,RUA DAS GUEIXAS,,127,JARDIM JAPAO,SAO PAULO,02123-030,SP
RODOVIARIA FRIBURGO/NAO USAR E A MESMA FRIBURGO LOGI,RODOVIARIA FRIBURGO,03.507.692/0001-57,115.575.343.114,RUA MARGARINO TORRES,,1130,VL. MARIA,SÃO PAULO,02119-001,SP
RODOVEL TRANPORTADORA EIRELI,RODOVEL TRANPORTADORA,08.979.152/0001-90,127.096.533.110,RUA DOS JESUITAS,,12,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07231-060,SP
RODOV. CAMILO DOS SANTOS FILHO LTDA,RODOV. CAMILO DOS SANTOS,19.451.038/0024-03,336991037118,RUA SOLDADO ANTONIO MARTINS OLIVEIRA,GALPÃO 1,57,VILA VENDITTI,GUARULHOS,07031-010,SP
RODOSUL EXPRESS LTDA,RODOSUL EXPRESS LTDA,13.091.188/0002-53,336569655119,RUA INDIAPORÃ,417,125,CUMBICA,GUARULHOS,07232-090,SP
RODOSHARK TRANSPORTE E LOGISTICA - EIRELI,RODOSHARK TRANSPORTE E LOGISTICA - EIRELI,14.743.407/0002-02,336.979.418.110,RUA DOS GEOGRAFOS,,150,JARDIM DAS ACACIAS,GUARULHOS,07140-250,SP
RODOPAN TRANSPORTES LTDA,RODOPAN TRANSPORTES LT,00.849.291/0002-78,114.860.105.119,RUA CARMOPOLIS DE MINAS,,1045,VILA MARIA,SAO PAULO ,02116-010,SP
RODONAVES TRANSPORTES E ENCOMENDAS LTDA,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,44.914.992/0021-81,283140925,AV D ,,171,PQ IND ANTONIO OVIDIO I ,PARANAIBA,79500-000,MS
RODONAVES TRANSPORTES E ENCOMENDAS LTDA,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,44.914.992/0037-49,126.245.233.119,RUA MONTES CLAROS,,422,CUMBICA GUARULHOS,GUARULHOS,07223-110,SP
RODONAVES TRANSPORTES E ENCOMENDAS LTDA,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,44.914.992/0027-77,ISENTO,AVENIDA WILLY EUGENIO FLECK,,422,RUBEM BERTA,PORTO ALEGRE,91150-180,RS
RODONAVES TRANSPORTES E ENCOMENDAS LTDA,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,44.914.992/0013-71,112.782.533.118,RUA SAO QUIRINO,,1090,VILA GUILHERME,SAO PAULO,02056-070,SP
RODONASA CARGAS E ENCOMENDAS,RODONASA CARGAS E ENCOMENDAS,10.386.287/0002-74,336.866.205.110,RUA ALEXANIA,,157,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-010,SP
RODOMINQUES TRANSPORTE DE CARGAS,RODOMINQUES TRANSPORTE DE CARGAS,12.292.410/0001-32,0016359410079,AVENIDA GENERAL DAVID SARNOFF,,3106,CIDADE INDUSTRIAL,CONTAGEM,32210-110,MG
RODOMAXLOG ARM E LOGISTICA LTDA,RODOMAXLOG ARM E LOGISTICA LTDA,13.206.664/0001-53,152.172.986.114,RUA JUSSARA,,1273,JARDIM SANTA CECILIA,BARUERI,06465-070,SP
RODOILHA TRANSPORTE E LOGISTICA EIRELI,RODOILHA - FILIAL SAO PAULO,34.934.522/0002-63,127.057.050.119,RUA CORUMBA DE GOIAS,,87,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-020,SP
RODOFRIOS SOCARGA TRANSPORTES E LOGISTICA EIRELI,RODOFRIOS SOCARGA TRANSPORTES E LOGISTICA EIRELI,01.163.051/0004-40,149721529114,RUA JOAO VELOSO FILHO,,298,VILA GUILHERME,SAO PAULO,02056-080,SP
RODOEXPRESS TRANSPORTES LTDA,RODOEXPRESS TRANSPORTES LTDA,96.164.231/0001-00,114228695110,"RUA, ORIN DE UVA",,333,JARDIM GUANHEMBU,SÃO PAULO,04814-075,SP
RODOEXPRESS TRANSPORTES LTDA,RODOEXPRESS TRANSPORTES LTDA,01.334.720/0002-37,146110811117,RUA DONA MARIA QUEDAS,,111,JARDIM ANDARAI,SAO PAULO,02175-010,SP
RODOEXPRESS TRANSPORTES,RODOEXPRESS TRANSPORTES,05.888.496/0001-03,181308999110,RUA CASTRO ALVES ,,1957,CENTRO,ARARAQUARA,14801-450,SP
RODODANNY TRANSPORTE LOGISTICA LTDA-ME,RODODANNY,11.393.773/0001-00,336.913.221.117, RUA VIELA URGA,,485,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
RODOCLEAN TRANSPORTES LTDA,RODOCLEAN TRANSPORTES,53.190.735/0001-91,132.603.156.110,RUA ENGENHEIRO ALBERT LEIMER,GALPAO2,450,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-020,SP
RODOCERTO TRANSPORTES LTDA,RODOCERTO TRANSPORTES LTDA,45.386.448/0002-04,108391835112,R QUIRINO DOS SANTOS,,380,VARZEA DA BARRA FUNDA,SAO PAULO,01141-020,SP
RODOCARGAS NORDESTE LTDA,RODOCARGAS,07.494.510/0003-73,336885273112, RUA VIELA URGA,,144,VILA NOVA BONSUCESSO,GUARULHOS,07175-332,SP
RODOBARRA TRANSPORTE LTDA - ME,RODOBARRA TRANSPORTE LTDA - ME,01.119.497/0002-05,336549219119,RUA LIBERATO SALZANO,,148,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07231-150,SP
RODOATIVA TRANSPORTES RODOVIARIOS LTDA,RODOATIVA TRANSPORTES RODOVIARIOS LTDA,06.951.809/0001-85,1863070140079,AVENIDA FRANCISCO FIRMO DE MATOS,,398,ELDORADO,CONTAGEM,32265-470,MG
RODOALTO TRANSPORTES SAO PAULO EIRELLI - EPP,RODOALTO TRANSPORTES ,06.697.386/0001-19,116865860116,RUA AMADEU,,601,VILA GUILHERME,SAO PAULO,02064-050,SP
RODO STEEL LOGISTICA E TRANSPORTES LTDA,RODO STEEL LOGISTICA E TRANSPORTES LTDA,22.226.248/0002-99,0029035080084,"ROD FERNAO DIAS, KM 892,5",SALA 1,S/N,RIO DO PEIXE,CAMBUI,37600-000,MG
RODO SP COMERCIO E TRANSPORTES DE CARGAS LTDA,RODONORTE,48.618.583/0001-45,127.793.518118,RUA ITAPARANTIM,,1126,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-050,SP
RODO M.M.M. TRANSPORTES LTDA,TRES IRMAOS TRANSPORTADORA,30.950.278/0001-90,9078638084,AVENIDA PREFEITO RONIE CARDOSO,,780,JARDIM DAS ARAUCARIAS,CASTRO,84174-105,PR
RODO M.M.M. TRANSPORTES LTDA,TRES IRMAOS TRANSPORTADORA,30.950.278/0002-71,ISENTO ,RUA CORONEL BENTO BICUDO,,1071,PIQUERI,SAO PAULO,02912-000,SP
RODELOG TRANSPORTES RODOVIARIOS LTDA,RODELOG TRANSPORTES,14.378.274/0001-23,9057363026,RUA GUARATINGA,FUNDOS: FUNDOS; ANEXO: B;,3765,PARQUE INDUSTRIAL II,ARAPONGAS,86703-010,PR
RODA VIVA TRANSPORTES E LOGISTICA LTDA,RODA VIVA ,04.124.624/0002-52,336777080112,RUA LIDICE,GALPAO 8 A BELA VOLPE,22,PARQUE NOVO MUNDO,SAO PAULO,02174-010,SP
ROBSON MALAGUTI 26953784830,ROBSON MALAGUTI 26953784830,18.766.401/0001-12,582.996.633.116,RUA ALCIDES COSENZO,,197,CONJUNTO HABITACIONAL JARDIM DAS PA,RIBEIRAO PRETO,14094-030,SP
ROBSON FLORENCIO GUALBERTO ME (TRANSUNIAO CARUARU)(MASTER),TRANSUNIAO CARUARU (MASTER),24.341.042/0002-35,146.096.882.110,RUA DOUTOR ALMEIDA LIMA ,,381,BRAS,SAO PAULO,03046-010,SP
RMGI TRANSPORTES LTDA,RMGI TRANSPORTES,10.502.578/0001-08,148411154117,RUA DR VIDAL REIS ,,583,PARQUE NOVO MUNDO,SAO PAULO,02181-000,SP
RISSO TRANSPORTES LTDA,RISSO TRANSPORTES LTDA_00001-28,59.504.225/0001-28,206.376.120.113,ALAMEDA MAMORE,,535,ALPHAVILLE INDUSTRIAL,BARUERI,06454-910,SP
RISSO TRANSPORTES LTDA,RISSO TRANSPORTES,59.504.225/0003-90,146357560110,AVENIDA JORNALISTA PAULO ZINGG,,300,JARDIM JARAGUA (SAO DOMINGOS),SAO PAULO,05157-030,SP
Risso Transportes de Cargas,Risso Transportes de Cargas,04.928.226/0002-99,419109508111,AVENIDA TIRADENTES,,1140,JARDIM CAMPESTRE,LINS,16400-279,SP
RISSO EXPRESS TRANSPORTES DE CARGAS LTDA,RISSO EXPRESS TRANSPORTES,04.928.226/0016-94,ISENTO,RUA DURVALINO BINATO,,175,JARDIM AEROPORTO,ASSIS,19813-170,SP
RISSO EXPRESS TRANSPORTES DE CARGAS LTDA,RISSO EXPRESS TRANSPORTES DE CARGAS LTDA,04.928.226/0006-12,181.323.260.118,AVENIDA PRESIDENTE VARGAS,SALA 02 PISO SUPERIOR,2409,CENTRO,ARARAQUARA,14800-005,SP
RISSO EXPRESS TRANSPORTES DE CARGA LTDA,RISSO EXPRESS TRANSPORTES DE CARGA LTDA,04.928.226/0005-31,407432595113,AVENIDA AMELIA LATORRE,,924,JARDIM GUANABARA,JUNDIAI,13211-815,SP
RISSO ENCOMENDAS CENTRO OESTE LTDA,RISSO ENCOMENDAS,05.209.691/0001-51,214140761115,AVENIDA EUCLIDES MIRAGAIA,,S/N,RESIDENCIAL CAPUANO,BIRIGUI,16204-113,SP
RISSO ENCOMENDAS CENTRO OESTE ,RISSO ENCOMENDAS CENTRO OESTE ,05.209.691/0002-32,647417924110,AVENIDA PERCY GANDINI,,4065,VILA TONINHO,SAO JOSE DO RIO PRETO,15077-000,SP
RISC EMAIL REPRESENTAÇÕES LTDA,RISC EMAIL REPRESENTAÇÕES LTDA,61.180.709/0001-00,ISENTO,AVENIDA GOIAS,,1346-1350,BARCELONA,SAO CAETANO DO SUL,09550-051,SP
RIO DO NORTE TRANSPORTE E LOGISTICA LTDA - ME,RIO DO NORTE TRANSPORTE E LOGISTICA LTDA - ME,08.052.725/0002-16,336998306111,RUA AROEIRAS,,333,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-000,SP
RICHARD USTENYCH DA SILVA DAVID DA FONSECA 39342254896,RADA SERVICO DE TRANSPORTE,27.388.039/0001-84,671327071112,RUA PEDRO JOSE LAROCA,,1091,JARDIM SANTA MARTA,ARARAQUARA,14808-300,SP
RICARDO WAGNER TENORIO DE ARAUJO ME,EXPRESSO ALAGOANO,12.488.564/0002-85,146857137110,TRAVESSA COTIARA,36,32,PARQUE NOVO MUNDO,SAO PAULO,02177-030,SP
RIBERAÇO COMERCIO DE MATERIAIS FERROSOS E NÃO FERROSOS LTDA - ME,RIBERAÇO,14.898.508/0001-63,ISENTO,AVENIDA ENGENHEIRO CAMILO DINUCCI,,3853,JARDIM REGINA,ARARAQUARA,14808-100,SP
RIBEIRAO COMERCIO DE LUBRIFICANTES LTDA,CASA DO OLEO,74.212.994/0001-46,582367014113,RUA TAUBATE,,2358,VILA ELISA,RIBEIRAO PRETO,14075-020,SP
RGN TRANSPORTES,.,59.470.518/0001-31,336.909.934.111,RUA ALEXANIA,,333,CUMBICA,GUARULHOS,07232-310,SP
REUNIDAS TRANSP.RODOVIARIOS,REUNIDAS TRANSP.RODOVIARIOS,83.083.428/0003-34,112328043117,RUA NELSON FRANCISCO,,66,JARDIM PEREIRA LEITE,SAO PAULO,02712-100,SP
RENC A TRUCK OPERADOR LTDA/  STARLOG,.,01.034.009/0004-29,336889419113,RUA BENEDITO CLIMERIO DE SANTANA ,,478,VARZIA DO PALACIO,GUARULHOS,07034-080,SP
REMO INDUSTRIA E COMERCIO DE PLASTICOS LTDA,REMO INDUSTRIA E COMERCIO DE PLASTICOS LTDA,61.892.030/0001-44,336.738.581.110,RODOVIA PRESIDENTE DUTRA,KM 212,S/N,BONSUCESSO,GUARULHOS,07178-580,SP
REMAC TRANSP RODOVIARIOS ,REMAC SA TRANSPORTES RODOVIARIOS,75.324.905/0019-45,142.260.882.110,VIA PANORAMICA,,320,JARDIM TRES MONTANHAS,OSASCO,06263-220,SP
REIS TRANSPORTES E MUDANCAS LTDA - EPP,REIS TRANSPORTES E MUDANCAS LTDA - EPP,08.192.055/0002-33,336790811118,RUA MARINOPOLIS,,1013,JD PRESIDENTE DUTRA,GUARULHOS,07172-100,SP
REGINALDO APARECIDO BERNARDES TRANSPORTES **GM TRANSPORTES**,REGINALDO APARECIDO BERNARDES TRANSPORTES **GM TRANSPORTES*,27.235.341/0001-00,121894943115,AVENIDA MARECHAL COSTA E SILVA,,3325,CAMPOS ELISIOS,RIBEIRAO PRETO,14075-610,SP
REFRIPARTS COMERCIO DE REFRIGERACAO EIRELI,REFRIPARTS COMERCIAL,07.006.993/0001-58,535391739110,RUA SANTOS DUMONT,,509,VILA INDEPENDENCIA,PIRACICABA,13418-120,SP
REDYAR  OTM TRANSPORTES LTDA,REDYAR OTM,04.121.789/0001-90,336.826.969.110,RUA ARTHUR FERREIRA DOS SANTOS,,384,JARDIM SANTA LIDIA,GUARULHOS,07140-003,SP
REDENTOR ARMARINHOS LTDA - EPP,REDENTOR ARMARINHOS LTDA - EPP,68.458.785/0001-84,209396335119,RUA RAFAEL PEREIRA MARTINI ,,7-84,JARDIM REDENTOR,BAURU,17031-666,SP
REDEFORTE LOGISTICA LTDA,REDEFORTE LOGISTICA - FILIAL JUNDIAI,39.743.792/0002-00,407830493110,RUA DONA CATHARINA MARIA DE JESUS,,418,BONSUCESSO,GUARULHOS,07175-500,SP
RECRIS TRANSPORTES E LOGISTICA LTDA. - ME,RECRIS,92.598.853/0003-57,336.750.475.119,RUA AREIAL,,90,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-020,SP
RECONSERT LTDA,RECONSERT,38.448.714/0001-30,664.262.303.119,AVENIDA MARGINAL JOAO OLEZIO MARQUES,GALPAO38,3563,CHACARAS RECREIO PLANALTO,SERTAOZINHO,14176-003,SP
REBOUCAS TRANSPORTES E LOGISTICA EIRELI - ME,REBOUCAS TRANSPORTES E LOGISTICA EIRELI - ME,12.463.679/0002-15,ISENTO,AV NATALIA ZARIF,UNIDADE 1-D,660,PARQUE SÃO GERALDO,SAO PAULO,07231-000,SP
REALLPOST COMERCIAL IMPORTAÇÃO E EXPORTAÇÃO LTDA EPP,REALLPOST COMERCIAL IMPORTAÇÃO E EXPORTAÇÃO LTDA EPP,01.711.288/0001-75,ISENTO,RUA BOA VISTA,,88,PARQUE RES COCAIA,SAO PAULO,01014-001,SP
RCMAXX AUTOMACAO INDUSTRIAL LTDA,RCMAXX AUTOMACAO INDUSTRIAL LTDA,24.394.704/0001-54,647808914117,RUA CORONEL SPINOLA DE CASTRO,,5201,CENTRO,SAO JOSE DO RIO PRETO,15015-500,SP
RBL TRANSPORTES RODOVIARIOS,RBL TRANSPORTES RODOVIARIOS,10.887.811/0001-00,796.680.671.110,R JOAO BATISTA NOGUEIRA,,250,VILA NOVA CUMBICA,GUARULHOS,07230-451,SP
RAPIDOBR TRANSPORTES & LOGISTICA LTDA,RAPIDOBR TRANSPORTE & LOGISTICA,14.682.495/0001-90,336.640.234.110,AV CONDEAL,,245,CIDADE PARQUE SAO LUIZ,GUARULHOS,07170-550,SP
RAPIDO XAPURI TRANSPORTES E LOGISTICA LTDA - ME ,RAPIDO XAPURI TRANSPORTES E LOGISTICA LTDA - ME ,27.775.231/0002-04,118.202.370.110,RUA BELA VISTA DO PARAISO,GALPAO 2 ,1782,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171-000,SP
RAPIDO TRANSPAULO LTDA,RAPIDO TRANSPAULO,88.317.847/0030-80,336890773115,AV. PAPA JOÃO PAULO I , GALPAO1,687,VILA AEROPORTO,GUARULHOS,07170-350,SP
RAPIDO TRANSPAULO LTDA,RAPIDO TRANSPAULO LTDA,88.317.847/0003-07,102197393,RODOVIA GO 80,KM 09 CH 03/05,",",CHACARAS BOM RETIRO,GOIANIA,74686-015,GO
RAPIDO TRANSILVA LTDA,RAPIDO TRANSILVA LTDA,38.412.253/0002-26,127.664.319.117,RUA DOUTOR MOACYR ANTONIO DE MORAES,,332,PARQUE SANTO AGOSTINHO,GUARULHOS,07140-285,SP
RAPIDO SUNORTE LTDA,RAPIDO SUNORTE LTDA,86.048.063/0008-00,144461510116,AVENIDA MONTEIRO LOBATO,,4550,CIDADE JARDIM CUMBICA,GUARULHOS,07180-000,SP
RAPIDO RORAIMA LTDA ,RAPIDO RORAIMA ,04.281.036/0007-37,336.175.249.116,RUA DA IMPRENSA,,65,JARDIM NOVA CUMBICA,GUARULHOS,07231-070,SP
